date, pm25
2020/5/26, 59
2020/5/27, 54
2020/5/28, 63
2020/5/29, 53
2020/5/30, 69
2020/5/31, 64
2020/6/1, 40
2020/6/2, 53
2020/6/3, 73
2020/6/4, 83
2020/6/5, 64
2020/6/6, 66
2020/6/7, 64
2020/6/8, 55
2020/6/9, 57
2020/6/10, 52
2020/6/11, 55
2020/6/12, 44
2020/6/13, 57
2020/6/14, 64
2020/6/15, 61
2020/6/16, 76
2020/6/17, 68
2020/6/18, 68
2020/6/19, 76
2020/6/20, 75
2020/6/21, 75
2020/6/22, 62
2020/6/23, 69
2020/6/24, 81
2020/6/25, 79
2020/6/26, 73
2020/6/27, 66
2020/6/28, 56
2020/6/29, 62
2020/6/30, 57
2020/7/1, 59
2020/3/30, 81
2020/3/31, 67
2020/4/1, 56
